OBS;ID;PH;PROT;GRA;CEN;SOD;CARB;CAL
1;14025;28,35;19,99;45,78;5,08;1,63;0,8;4,95
2;14164;28,7;20;45,12;4,93;1,56;1,25;4,91
3;14154;30,91;19,65;42,45;4,81;1,65;2,81;4,72
4;24082;31,02;19,05;42,29;5,27;1,71;2,37;4,66
5;24138;29,62;21,1;43,37;5,05;1,69;0,86;4,78
6;14047;49,99;13,35;29,2;3,52;1,05;3,94;3,32
7;14074;50,72;13,93;29,88;3,6;1,03;2,87;3,32
8;14149;54,96;14,26;22,99;3,19;0,9;4,6;2,82
9;14113;54,12;14,06;24,95;3,14;0,82;3,73;2,96
10;24118;51,75;13,18;28,38;3,04;0,86;3,65;3,23
21;24057;47,7;22,23;21,33;3,98;;4,76;3
22;24153;48,81;22,43;18,68;4,1;0,72;5,98;2,82
23;24123;46,28;21,51;25,44;4,58;0,6;2,19;3,24
24;24043;52,19;26;16,64;4,17;0,61;1;2,58
25;14012;85,7;1,98;;1,85;0,38;10,47;0,5
26;14048;85,42;1,93;;1,82;0,36;10,83;0,51
27;14167;85,95;1,42;;1,71;0,36;10,92;0,49
28;34001;85,99;1,68;;1,67;0,32;10,66;0,49
29;24105;85,12;1,69;;1,94;0,44;11,25;0,52
30;24116;85,17;1,42;;1,68;0,37;11,73;0,53
41;14118;29,79;8,17;14,35;1,49;0,46;46,2;3,46
42;14143;29,54;7,79;15,08;1,41;0,45;46,18;3,52
43;14008;;8,29;16,69;1,46;0,69;46,64;3,7
44;24035;27,65;7,78;17,3;1,29;0,4;46,25;3,72
45;24049;28,33;7,82;17,96;1,41;0,45;44,48;3,71
46;24103;30,15;8,06;12,23;1,5;0,47;48,06;3,35
47;34034;28,36;7,62;19,29;1,45;0,47;43,28;3,77
48;14153;28,83;8,26;20,1;1,37;0,42;41,44;3,8
49;14077;33,09;7,87;12,07;1,37;0,44;45,6;3,23
50;14166;27,56;8,25;14,65;1,45;0,46;48,09;3,57
61;34022;54,28;10,75;13,87;2,13;0,46;18,97;2,4
62;34021;54,54;10,4;13,22;2,1;0,47;19,74;2,4
63;34014;56,77;10,37;12,17;2,02;;18,67;2,26
64;34026;54,17;10,13;13,25;2,07;0,46;20,38;2,41
65;14043;47,84;10,16;14,56;2,27;0,54;25,17;2,72
66;24073;46,13;10,84;13,99;2,38;0,64;26,66;2,76
67;24071;46,22;11,26;15,93;2,47;0,63;24,12;2,85
68;24056;43,45;10,81;19,49;2,51;0,68;23,74;3,14
69;24070;45,21;9,39;16,23;2,14;0,55;27,03;2,92
70;24069;43,15;11,79;18,46;2,43;0,67;24,17;3,1
71;34039;44,55;11,01;16,03;2,43;0,64;25,68;2,92
