artist_name,track_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,genre
Tom Petty and the Heartbreakers,American Girl,75,0.55,0.824,2,-5.988,1,0.0334,0.448,0.000127,0.366,0.777,114.512,3.57888333,4,Rock
Code Orange,Bleeding In The Blur,41,0.529,0.908,,-5.405,1,0.0522,0.0000246,0.947,0.0942,0.183,126.032,244693,4,Metal
Overmono,If U Ever,38,0.829,0.408,,-16.117,0,0.125,0.811,0.658,0.107,0.406,132.976,288331,4,Indie_Alt
XXXTENTACION,Jocelyn Flores,86,0.872,0.391,,-9.144,0,0.242,0.469,0.00000413,0.297,0.437,134.021,119133,4,HipHop
XYZ,When I Find Love,35,0.356,0.772,11,-8.575,1,0.0437,0.000491,0.000241,0.0647,0.271,184.719,257133,4,Rock
Mandrake Handshake,Monolith,27,0.369,0.618,10,-8.202,1,0.0298,0.0289,,0.108,0.516,76.998,431973,4,Indie_Alt
Dean Lewis,Falling Up,,0.654,0.756,2,-3.594,1,0.0534,0.648,,0.0995,0.475,103.551,206948,4,Pop
Scarface,On My Block,8,0.833,0.918,10,-3.053,1,0.176,0.177,,0.0535,0.646,82.774,214533,4,HipHop
Bastille,Power,49,0.664,0.726,10,-4.899,1,0.0329,0.211,,0.272,0.538,97.749,209107,4,Rock
Denzel Curry,So.Incredible.pkg [Robert Glasper Version Feat. Smino],56,0.66,0.816,10,-5.993,0,0.366,0.383,,0.414,0.853,88.323,195630,4,HipHop
Laurence Guy,Mutual Excitement is a Wonderful Thing,43,0.683,0.47,11,-15.561,1,0.0494,0.0268,0.827,0.11,0.205,128.02,293709,4,Alt_Music
"Kishore Kumar, Kalyanji-Anandji",Apni To Jaise Taise,32,0.64,0.753,8,-8.025,0,0.0462,0.0451,,0.0356,0.807,108.511,5.15355,4,Bollywood
Sufjan Stevens,Lamentation I,48,0.281,0.0985,,-19.559,1,0.0385,0.986,0.941,0.114,0.0382,100.903,228676,4,Indie_Alt
Alice In Chains,Man in the Box,73,0.355,0.791,8,-7.565,1,0.0453,0.00045,,0.0969,0.758,106.392,285200,4,Rock
Queen,We Will Rock You - Remastered,78,0.692,0.497,2,-7.316,1,0.119,0.676,,0.259,0.475,81.308,122067,4,Rock
Dorothy Washington,Phillis Wheatley (1753-1784),4,0.692,0.0832,,-19.947,1,0.872,0.817,,0.219,0.385,102.742,68413,4,HipHop
Dorothy,Who Do You Love,37,0.22,0.848,10,-3.686,1,0.0501,0.0429,0.000175,0.142,0.389,121.948,253613,4,Metal
Jo Rochford,San Sebastien,48,0.704,0.116,2,-17.117,1,0.0641,0.992,0.946,0.11,0.27,117.724,3.158633333,3,Instrumental
Traitor,Space Seed,21,0.375,0.991,11,-3.542,1,0.0759,0.0000212,0.671,0.0405,0.624,176.034,177207,4,Metal
Dan + Shay,Tequila,5,0.423,0.835,11,-6.494,1,0.0878,0.229,,0.427,0.475,123.123,170103,4,Pop
Backstreet Boys,Hey Mr. DJ (Keep Playin' This Song),36,0.693,0.666,10,-6.347,0,0.0422,0.00402,,0.098,0.651,92.015,4.43045,4,Pop
"Antonio Vivaldi, Jean-François Paillard, Frédéric Lodéon, Orchestre de chambre Jean-François Paillard","Vivaldi: Cello Concerto in C Major, RV 400: II. Largo",22,0.22,0.0485,,-25.743,1,0.0472,0.977,0.865,0.104,0.0395,97.025,2.853783333,4,Instrumental
Little Dragon,The Other Lover (Little Dragon & Moses Sumney),58,0.633,0.451,3,-9.66,1,0.133,0.75,0.0581,0.0995,0.475,162.112,244883,4,Indie_Alt
Ayra Starr,Away,55,0.596,0.31,3,-13.26,0,0.135,0.439,,0.116,0.611,159.85,169400,4,Pop
Lake Haze,Dog Walking in the Park,48,0.805,0.775,5,-8.329,0,0.0365,0.707,0.9,0.11,0.715,134.999,233744,4,Indie_Alt
Asylums,The Distance Between Left And Right,23,0.378,0.724,1,-6.706,0,0.0499,0.00000323,0.247,0.172,0.603,102.996,200405,4,Rock
Big Star,September Gurls,40,0.374,0.895,4,-4.552,1,0.0351,0.000163,0.0119,0.164,0.533,113.992,166400,4,Rock
Alexi Murdoch,All My Days,53,0.438,0.319,2,-15.969,1,0.0305,0.788,0.758,0.106,0.529,88.446,297307,4,Pop
The View,Same Jeans,58,0.479,0.967,,-2.445,1,0.0431,0.00697,,0.217,0.719,134.743,213080,4,Indie_Alt
Saint Louis,Carry Me Away,35,0.286,0.882,7,-2.362,1,0.039,0.00435,0.0406,0.107,0.0438,139.584,183214,4,Rock
Hoobastank,The Reason,80,0.472,0.671,4,-4.649,1,0.029,0.0129,,0.159,0.0681,82.952,232800,4,Pop
Ammonia,Drugs,39,0.624,0.586,9,-8.271,1,0.041,0.000967,0.058,0.0664,0.889,115.932,207000,4,Rock
Moneybagg Yo,Said Sum (feat. City Girls & DaBaby) - Remix,70,0.913,0.625,10,-6.901,0,0.334,0.0168,,0.125,0.298,126.915,177704,4,HipHop
Tim Montana,Do It Fast,44,0.594,0.958,9,-3.887,1,0.0825,0.00918,0.00000441,0.23,0.806,149.944,198013,4,Rock
The Beatles,Blackbird - Remastered 2009,74,0.686,0.127,7,-14.361,1,0.0342,0.754,0.0000141,0.0573,0.372,93.699,138387,4,Rock
Christian L√∂ffler,Pastoral,55,0.163,0.191,10,-20.924,1,0.0365,0.937,0.959,0.0961,0.0335,105.104,220630,3,Alt_Music
shame,Alphabet,46,0.49,0.817,2,-5.912,1,0.0272,0.0000849,0.0129,0.0962,0.369,99.335,173573,4,Rock
LaSalle Street Trio,I've Told Every Little Star,56,0.587,0.0575,2,-22.505,0,0.0406,0.943,0.865,0.0928,0.146,64.996,4.220216667,4,Instrumental
Deadlights,Sudden Life / Sudden Death,36,0.307,0.992,6,-1.846,0,0.261,0.000321,0.0000411,0.363,0.21,76.318,231000,4,Metal
Jonny Lang,Before You Hit The Ground,41,0.724,0.876,11,-5.854,0,0.0873,0.16,0.00278,0.116,0.812,92.169,234133,4,Blues
Fugees,Ready or Not,72,0.607,0.422,10,-13.364,0,0.499,0.209,,0.0839,0.563,130.47,226987,3,Indie_Alt
Hudson Harris & Haim,Blue in Green,54,0.557,0.0593,10,-23.714,1,0.0383,0.827,0.772,0.108,0.15,117.939,3.831416667,4,Instrumental
Beartooth,Fed Up,,0.366,0.969,8,-3.49,1,0.162,0.0000341,0.000672,0.358,0.227,179.92,201813,4,Metal
Arcadia's Fate,The Only Man on Earth,22,0.467,0.901,11,-4.024,0,0.0755,0.00045,0.000272,0.411,0.223,91.979,206087,4,Metal
Television,Lula Wiles,30,0.508,0.584,3,-6.826,1,0.0267,0.555,0.617,0.127,0.3,78.003,4.484983333,4,Acoustic/Folk
Max Richter,Follower,,0.124,0.0693,2,-24.594,0,0.0387,0.77,0.931,0.0706,0.0329,86.891,303127,4,Indie_Alt
bbno$,bad to the bone,67,0.95,0.574,11,-7.969,0,0.251,0.0973,0.000274,0.0801,0.656,106.042,141509,4,Pop
Briston Maroney,Bottle Rocket,54,0.583,0.931,11,-4.975,0,0.125,0.0174,0.0000036,0.405,0.319,127.034,190360,4,Rock
Andrew W.K.,Babalon,44,0.169,0.956,2,-2.94,1,0.0631,0.00127,0.0566,0.208,0.159,95.249,257240,3,Rock
Arch Enemy,Symphony of Destruction - cover version,23,0.586,0.944,11,-5.508,0,0.0706,0.000179,0.0109,0.133,0.554,136.991,242840,4,Metal
Mot√∂rhead,Heroes,56,0.464,0.955,6,-5.55,1,0.0556,0.000194,0.611,0.0954,0.312,124.993,277000,4,Metal
Deathbeds AU,Gods Way is my Way,34,0.366,0.985,,-3.681,0,0.234,0.00363,0.000023,0.21,0.0803,160.117,246500,4,Metal
Jades Goudreault,nuh uh,53,0.923,0.587,1,-2.98,1,0.122,0.0474,0.00245,0.0695,0.569,97.996,151686,4,Pop
August Burns Red,Pangaea,57,0.195,0.991,11,-3.615,1,0.209,0.000014,0.0181,0.33,0.0853,96.541,270050,4,Metal
Saweetie,Fast (Motion),72,0.882,0.839,4,-3.193,1,0.082,0.156,,0.132,0.71,117.032,170653,4,HipHop
Leprous,The Sky Is Red,41,0.305,0.678,9,-8.818,0,0.0688,0.17,0.667,0.0828,0.112,139.898,681560,4,Rock
"Shankar-Ehsaan-Loy, Ajoy Chakrabarty, Javed Ali",Garaj Garaj,38,0.287,0.762,,-7.121,1,0.0874,0.392,,0.287,0.262,73.054,2.641283333,4,Acoustic/Folk
Little Walter,Last Night - Single Version,6,0.468,0.419,7,-10.746,1,0.139,0.977,0.00159,0.143,0.472,207.452,163213,3,Blues
Bowling Green John Cephas,Guitar & Harmonica Rag,38,0.724,0.314,11,-10.887,0,0.0718,0.813,0.937,0.146,0.877,114.668,191667,4,Blues
Beige Banquet,Wired/Weird,23,0.648,0.95,1,-4.829,1,0.101,0.00227,0.776,0.0413,0.675,172.022,219053,4,Indie_Alt
Hole,Celebrity Skin,67,0.438,0.905,9,-6.161,1,0.0419,0.00000944,0.000054,0.363,0.723,134.163,162667,4,Rock
Viagra Boys,Girls & Boys,44,0.493,0.839,9,-5.75,1,0.0431,0.000115,0.0857,0.199,0.36,122.996,279817,4,Rock
Busta Rhymes,Gimme Some More,60,0.591,0.855,11,-8.339,0,0.339,0.00832,0.0000587,0.771,0.78,136.734,158467,4,HipHop
